4GTV,#genre#
愛爾達娛樂台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2584%259B%25E7%2588%25BE%25E9%2581%2594%25E5%25A8%259B%25E6%25A8%2582%25E5%258F%25B0
民視影劇台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25B0%2591%25E8%25A6%2596%25E5%25BD%25B1%25E5%258A%2587%25E5%258F%25B0
公視戲劇,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%2585%25AC%25E8%25A6%2596%25E6%2588%25B2%25E5%258A%2587
采昌影劇台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%2587%2587%25E6%2598%258C%25E5%25BD%25B1%25E5%258A%2587%25E5%258F%25B0
靖天戲劇台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E6%2588%25B2%25E5%258A%2587%25E5%258F%25B0
靖洋戲劇台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E6%25B4%258B%25E6%2588%25B2%25E5%258A%2587%25E5%258F%25B0
靖天映畫,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E6%2598%25A0%25E7%2595%25AB
靖天電影台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E9%259B%25BB%25E5%25BD%25B1%25E5%258F%25B0
影迷數位電影台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25BD%25B1%25E8%25BF%25B7%25E6%2595%25B8%25E4%25BD%258D%25E9%259B%25BB%25E5%25BD%25B1%25E5%258F%25B0
amc電影台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3Damc%25E9%259B%25BB%25E5%25BD%25B1%25E5%258F%25B0
CinemaWorld,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DCinemaWorld
My Cinema Europe HD 我的歐洲電影,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DMy%2520Cinema%2520Europe%2520HD%2520%25E6%2588%2591%25E7%259A%2584%25E6%25AD%2590%25E6%25B4%25B2%25E9%259B%25BB%25E5%25BD%25B1
經典電影台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E7%25B6%2593%25E5%2585%25B8%25E9%259B%25BB%25E5%25BD%25B1%25E5%258F%25B0
電影原聲台CMusic,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259B%25BB%25E5%25BD%25B1%25E5%258E%259F%25E8%2581%25B2%25E5%258F%25B0CMusic
CI 罪案偵查頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DCI%2520%25E7%25BD%25AA%25E6%25A1%2588%25E5%2581%25B5%25E6%259F%25A5%25E9%25A0%25BB%25E9%2581%2593
視納華仁紀實頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E8%25A6%2596%25E7%25B4%258D%25E8%258F%25AF%25E4%25BB%2581%25E7%25B4%2580%25E5%25AF%25A6%25E9%25A0%25BB%25E9%2581%2593
影迷數位紀實台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25BD%25B1%25E8%25BF%25B7%25E6%2595%25B8%25E4%25BD%258D%25E7%25B4%2580%25E5%25AF%25A6%25E5%258F%25B0
戲劇免費看 1台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2588%25B2%25E5%258A%2587%25E5%2585%258D%25E8%25B2%25BB%25E7%259C%258B%25201%25E5%258F%25B0
LiveABC互動英語頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DLiveABC%25E4%25BA%2592%25E5%258B%2595%25E8%258B%25B1%25E8%25AA%259E%25E9%25A0%25BB%25E9%2581%2593
ELTV生活英語台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DELTV%25E7%2594%259F%25E6%25B4%25BB%25E8%258B%25B1%25E8%25AA%259E%25E5%258F%25B0
MOMO親子台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DMOMO%25E8%25A6%25AA%25E5%25AD%2590%25E5%258F%25B0
Nick Jr. 兒童頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DNick%2520Jr.%2520%25E5%2585%2592%25E7%25AB%25A5%25E9%25A0%25BB%25E9%2581%2593
尼克兒童頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E5%25B0%25BC%25E5%2585%258B%25E5%2585%2592%25E7%25AB%25A5%25E9%25A0%25BB%25E9%2581%2593
DreamWorks 夢工廠動畫,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DDreamWorks%2520%25E5%25A4%25A2%25E5%25B7%25A5%25E5%25BB%25A0%25E5%258B%2595%25E7%2595%25AB
靖天卡通台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E5%25A4%25A9%25E5%258D%25A1%25E9%2580%259A%25E5%258F%25B0
靖洋卡通Nice Bingo,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259D%2596%25E6%25B4%258B%25E5%258D%25A1%25E9%2580%259ANice%2520Bingo
金光布袋戲,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%2587%2591%25E5%2585%2589%25E5%25B8%2583%25E8%25A2%258B%25E6%2588%25B2
霹靂布袋戲,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%259C%25B9%25E9%259D%2582%25E5%25B8%2583%25E8%25A2%258B%25E6%2588%25B2
經典卡通台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E7%25B6%2593%25E5%2585%25B8%25E5%258D%25A1%25E9%2580%259A%25E5%258F%25B0
精選動漫台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E7%25B2%25BE%25E9%2581%25B8%25E5%258B%2595%25E6%25BC%25AB%25E5%258F%25B0
MTV Live HD 音樂頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DMTV%2520Live%2520HD%2520%25E9%259F%25B3%25E6%25A8%2582%25E9%25A0%25BB%25E9%2581%2593
Mezzo Live HD,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DMezzo%2520Live%2520HD
CLASSICA 古典樂,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DCLASSICA%2520%25E5%258F%25A4%25E5%2585%25B8%25E6%25A8%2582
INULTRA,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DINULTRA
TRACE Urban,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTRACE%2520Urban
TRACE Sport Stars,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DTRACE%2520Sport%2520Stars
ROCK Action,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DROCK%2520Action
HITS頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DHITS%25E9%25A0%25BB%25E9%2581%2593
車迷TV,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E8%25BB%258A%25E8%25BF%25B7TV
GINX Esports TV,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DGINX%2520Esports%2520TV
Pet Club TV,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3DPet%2520Club%2520TV
滾動力rollor,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%25BB%25BE%25E5%258B%2595%25E5%258A%259Brollor
達文西頻道,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E9%2581%2594%25E6%2596%2587%25E8%25A5%25BF%25E9%25A0%25BB%25E9%2581%2593
智林體育台,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2599%25BA%25E6%259E%2597%25E9%25AB%2594%25E8%2582%25B2%25E5%258F%25B0
時尚運動X,http://156.238.248.80:5008/proxy?url=https%3A//4gtv.946985.filegear-sg.me/playlist%3Fchannel%3D%25E6%2599%2582%25E5%25B0%259A%25E9%2581%258B%25E5%258B%2595X
